"dex_number","name","jp_name","en_name","form_name","height","weight","type_1","type_2","body","catch_rate","specie","ability_1","ability_2","ability_hidden","ev_hp","ev_attack","ev_defence","ev_special_attack","ev_special_defence","ev_speed","exp_yield","exp_yield_gen_5","exp_lv_100","egg_group_1","egg_group_2","egg_cycle","hp","attack","defence","special_attack","special_defence","speed"
446,"小卡比兽","ゴンベ","Munchlax","","0.6","105.0","NORMAL","","HUMAN","50","大胃王","捡拾","厚脂肪","贪吃鬼",1,0,0,0,0,0,"94","78",1250000,"UNDISCOVERED","","40",135,85,40,40,85,5,"446#小卡比兽#"
447,"利欧路","リオル","Riolu","","0.7","20.2","FIGHT","","DUAL_FOOTS_MONSTER","75","波纹","不屈之心","精神力","恶作剧之心",0,1,0,0,0,0,"72","57",1059860,"UNDISCOVERED","","25",40,70,40,35,40,60,"447#利欧路#"
448,"路卡利欧","ルカリオ","Lucario","路卡利欧","1.2","54.0","FIGHT","STEEL","DUAL_FOOTS_MONSTER","45","波导","不屈之心","精神力","正义之心",0,1,0,1,0,0,"204","184",1059860,"FIELD","HUMAN_LIKE","25",70,110,70,115,70,90,"448#路卡利欧#路卡利欧#"
448,"路卡利欧","ルカリオ","Lucario","超级路卡利欧","1.3","57.5","FIGHT","STEEL","DUAL_FOOTS_MONSTER","45","波导","适应力","","",0,1,0,1,0,0,"","219",1059860,"FIELD","HUMAN_LIKE","25",70,145,88,140,70,112,"448#路卡利欧#超级路卡利欧#"
449,"沙河马","ヒポポタス","Hippopotas","","0.8","49.5","GROUND","","QUADRUPLE_FOOTS_MONSTER","140","河马","扬沙","","沙之力",0,0,1,0,0,0,"95","66",1250000,"FIELD","","30",68,72,78,38,42,32,"449#沙河马#"
450,"河马兽","カバルドン","Hippowdon","","2.0","300.0","GROUND","","QUADRUPLE_FOOTS_MONSTER","60","重量","扬沙","","沙之力",0,0,2,0,0,0,"198","184",1250000,"FIELD","","30",108,112,118,68,72,47,"450#河马兽#"
451,"钳尾蝎","スコルピ","Skorupi","","0.8","12.0","POISON","BUG","BUG","120","蝎子","战斗盔甲","狙击手","锐利目光",0,0,1,0,0,0,"114","66",1250000,"BUG","WATER_3","20",40,50,90,30,55,65,"451#钳尾蝎#"
452,"龙王蝎","ドラピオン","Drapion","","1.3","61.5","POISON","DARK","BUG","45","蝎怪","战斗盔甲","狙击手","锐利目光",0,0,2,0,0,0,"204","175",1250000,"BUG","WATER_3","20",70,90,110,60,75,95,"452#龙王蝎#"
453,"不良蛙","グレッグル","Croagunk","","0.7","23.0","POISON","FIGHT","HUMAN","140","毒击","危险预知","干燥皮肤","毒手",0,1,0,0,0,0,"83","60",1000000,"HUMAN_LIKE","","10",48,61,40,61,40,50,"453#不良蛙#"
454,"毒骷蛙","ドクロッグ","Toxicroak","","1.3","44.4","POISON","FIGHT","HUMAN","75","毒击","危险预知","干燥皮肤","毒手",0,2,0,0,0,0,"181","172",1000000,"HUMAN_LIKE","","20",83,106,65,86,65,85,"454#毒骷蛙#"
455,"尖牙笼","マスキッパ","Carnivine","","1.4","27.0","GRASS","","TENTACLE","200","捕虫","飘浮","","",0,2,0,0,0,0,"164","159",1250000,"GRASS","","25",74,100,72,90,72,46,"455#尖牙笼#"
456,"荧光鱼","ケイコウオ","Finneon","","0.4","7.0","WATER","","FISH","190","飞翅鱼","悠游自如","引水","水幕",0,0,0,0,0,1,"90","66",600000,"WATER_2","","20",49,49,56,49,61,66,"456#荧光鱼#"
457,"霓虹鱼","ネオラント","Lumineon","","1.2","24.0","WATER","","FISH","75","霓虹","悠游自如","引水","水幕",0,0,0,0,0,2,"156","161",600000,"WATER_2","","20",69,69,76,69,86,91,"457#霓虹鱼#"
458,"小球飞鱼","タマンタ","Mantyke","","1.0","65.0","WATER","FLYING","DUAL_WINGS","25","风筝","悠游自如","储水","水幕",0,0,0,0,1,0,"108","69",1250000,"UNDISCOVERED","","25",45,20,50,60,120,50,"458#小球飞鱼#"
459,"雪笠怪","ユキカブリ","Snover","","1.0","50.5","GRASS","ICE","DUAL_FOOTS_MONSTER","120","树冰","降雪","","隔音",0,1,0,0,0,0,"131","67",1250000,"MONSTER","GRASS","20",60,62,50,62,60,40,"459#雪笠怪#"
460,"暴雪王","ユキノオー","Abomasnow","暴雪王","2.2","135.5","GRASS","ICE","DUAL_FOOTS_MONSTER","60","树冰","降雪","","隔音",0,1,0,1,0,0,"214","173",1250000,"MONSTER","GRASS","20",90,92,75,92,85,60,"460#暴雪王#暴雪王#"
460,"暴雪王","ユキノオー","Abomasnow","超级暴雪王","2.7","185.0","GRASS","ICE","DUAL_FOOTS_MONSTER","60","树冰","降雪","","",0,1,0,1,0,0,"","208",1250000,"MONSTER","GRASS","20",90,132,105,132,105,30,"460#暴雪王#超级暴雪王#"
461,"玛狃拉","マニューラ","Weavile","","1.1","34.0","DARK","ICE","DUAL_FOOTS_MONSTER","45","钩爪","压迫感","","顺手牵羊",0,1,0,0,0,1,"199","179",1059860,"FIELD","","20",70,120,65,45,85,125,"461#玛狃拉#"
462,"自爆磁怪","ジバコイル","Magnezone","","1.2","180.0","ELECTRIC","STEEL","DUAL_HANDS","30","磁场","磁力","结实","分析",0,0,0,3,0,0,"211","241",1000000,"MINERAL","","20",70,70,115,130,90,60,"462#自爆磁怪#"
463,"大舌舔","ベロベルト","Lickilicky","","1.7","140.0","NORMAL","","HUMAN","30","舔舔","我行我素","迟钝","无关天气",3,0,0,0,0,0,"193","180",1000000,"MONSTER","","20",110,85,95,80,95,50,"463#大舌舔#"
464,"超甲狂犀","ドサイドン","Rhyperior","","2.4","282.8","GROUND","ROCK","DUAL_FOOTS_MONSTER","30","钻锥","避雷针","坚硬岩石","舍身",0,3,0,0,0,0,"217","241",1250000,"MONSTER","FIELD","20",115,140,130,55,55,40,"464#超甲狂犀#"
465,"巨蔓藤","モジャンボ","Tangrowth","","2.0","128.6","GRASS","","HUMAN","30","藤蔓状","叶绿素","叶子防守","再生力",0,0,2,0,0,0,"211","187",1000000,"GRASS","","20",100,100,125,110,50,50,"465#巨蔓藤#"
466,"电击魔兽","エレキブル","Electivire","","1.8","138.6","ELECTRIC","","DUAL_FOOTS_MONSTER","30","雷电","电气引擎","","干劲",0,3,0,0,0,0,"199","243",1000000,"HUMAN_LIKE","","25",75,123,67,95,85,95,"466#电击魔兽#"
467,"鸭嘴炎兽","ブーバーン","Magmortar","","1.6","68.0","FIRE","","DUAL_FOOTS_MONSTER","30","爆炎","火焰之躯","","干劲",0,0,0,3,0,0,"199","243",1000000,"HUMAN_LIKE","","25",75,95,67,125,95,83,"467#鸭嘴炎兽#"
468,"波克基斯","トゲキッス","Togekiss","","1.5","38.0","FAIRY","FLYING","DUAL_WINGS","30","祝福","活力","天恩","超幸运",0,0,0,2,1,0,"220","245",800000,"FLYING","FAIRY","10",85,50,95,120,115,80,"468#波克基斯#"
469,"远古巨蜓","メガヤンマ","Yanmega","","1.9","51.5","BUG","FLYING","MULTI_WINGS","30","勾蜓","加速","有色眼镜","察觉",0,2,0,0,0,0,"198","180",1000000,"BUG","","20",86,76,86,116,56,95,"469#远古巨蜓#"
470,"叶伊布","リーフィア","Leafeon","","1.0","25.5","GRASS","","QUADRUPLE_FOOTS_MONSTER","45","新绿","叶子防守","","叶绿素",0,0,2,0,0,0,"196","184",1000000,"FIELD","","35",65,110,130,60,65,95,"470#叶伊布#"
471,"冰伊布","グレイシア","Glaceon","","0.8","25.9","ICE","","QUADRUPLE_FOOTS_MONSTER","45","新雪","雪隐","","冰冻之躯",0,0,0,2,0,0,"196","184",1000000,"FIELD","","35",65,60,110,130,95,65,"471#冰伊布#"
472,"天蝎王","グライオン","Gliscor","","2.0","42.5","GROUND","FLYING","DUAL_WINGS","30","牙蝎","怪力钳","沙隐","毒疗",0,0,2,0,0,0,"192","179",1059860,"BUG","","20",75,95,125,45,75,95,"472#天蝎王#"
473,"象牙猪","マンムー","Mamoswine","","2.5","291.0","ICE","GROUND","QUADRUPLE_FOOTS_MONSTER","50","双牙","迟钝","雪隐","厚脂肪",0,3,0,0,0,0,"207","239",1250000,"FIELD","","20",110,130,80,70,60,80,"473#象牙猪#"
474,"多边兽Ｚ","ポリゴンＺ","Porygon-Z","","0.9","34.0","NORMAL","","DUAL_HANDS","30","虚拟","适应力","下载","分析",0,0,0,3,0,0,"185","241",1000000,"MINERAL","","20",85,80,70,135,75,90,"474#多边兽Ｚ#"
475,"艾路雷朵","エルレイド","Gallade","艾路雷朵","1.6","52.0","PSYCHIC","FIGHT","HUMAN","45","利刃","不屈之心","","正义之心",0,3,0,0,0,0,"208","233",1250000,"HUMAN_LIKE","AMORPHOUS","20",68,125,65,65,115,80,"475#艾路雷朵#艾路雷朵#"
475,"艾路雷朵","エルレイド","Gallade","超级艾路雷朵","1.6","56.4","PSYCHIC","FIGHT","HUMAN","45","利刃","精神力","","",0,3,0,0,0,0,"","278",1250000,"HUMAN_LIKE","AMORPHOUS","20",68,165,95,65,115,110,"475#艾路雷朵#超级艾路雷朵#"
476,"大朝北鼻","ダイノーズ","Probopass","","1.4","340.0","ROCK","STEEL","BUNDLE","60","罗盘","结实","磁力","沙之力",0,0,1,0,2,0,"198","184",1000000,"MINERAL","","20",60,55,145,75,150,40,"476#大朝北鼻#"
477,"黑夜魔灵","ヨノワール","Dusknoir","","2.2","106.6","GHOST","","DUAL_HANDS","45","抓握","压迫感","","察觉",0,0,1,0,2,0,"210","236",800000,"AMORPHOUS","","25",45,100,135,65,135,45,"477#黑夜魔灵#"
478,"雪妖女","ユキメノコ","Froslass","","1.3","26.6","ICE","GHOST","DUAL_HANDS","75","雪国","雪隐","","诅咒之躯",0,0,0,0,0,2,"187","168",1000000,"FAIRY","MINERAL","20",70,80,70,80,70,110,"478#雪妖女#"
479,"洛托姆","ロトム","Rotom","洛托姆的样子","0.3","0.3","ELECTRIC","GHOST","BALL","45","等离子","飘浮","","",0,0,0,1,0,1,"132","154",1000000,"AMORPHOUS","","20",50,50,77,95,77,91,"479#洛托姆#洛托姆的样子#"
479,"洛托姆","ロトム","Rotom","加热洛托姆","0.3","0.3","ELECTRIC","FIRE","BALL","45","等离子","飘浮","","",0,0,0,1,0,1,"132","182",1000000,"AMORPHOUS","","20",50,65,107,105,107,86,"479#洛托姆#加热洛托姆#"
479,"洛托姆","ロトム","Rotom","清洗洛托姆","0.3","0.3","ELECTRIC","WATER","BALL","45","等离子","飘浮","","",0,0,0,1,0,1,"132","182",1000000,"AMORPHOUS","","20",50,65,107,105,107,86,"479#洛托姆#清洗洛托姆#"
479,"洛托姆","ロトム","Rotom","结冰洛托姆","0.3","0.3","ELECTRIC","ICE","BALL","45","等离子","飘浮","","",0,0,0,1,0,1,"132","182",1000000,"AMORPHOUS","","20",50,65,107,105,107,86,"479#洛托姆#结冰洛托姆#"
479,"洛托姆","ロトム","Rotom","旋转洛托姆","0.3","0.3","ELECTRIC","FLYING","BALL","45","等离子","飘浮","","",0,0,0,1,0,1,"132","182",1000000,"AMORPHOUS","","20",50,65,107,105,107,86,"479#洛托姆#旋转洛托姆#"
479,"洛托姆","ロトム","Rotom","切割洛托姆","0.3","0.3","ELECTRIC","GRASS","BALL","45","等离子","飘浮","","",0,0,0,1,0,1,"132","182",1000000,"AMORPHOUS","","20",50,65,107,105,107,86,"479#洛托姆#切割洛托姆#"
480,"由克希","ユクシー","Uxie","","0.3","0.3","PSYCHIC","","DUAL_FOOTS_MONSTER","3","知识","飘浮","","",0,0,2,0,1,0,"210","261",1250000,"UNDISCOVERED","","80",75,75,130,75,130,95,"480#由克希#"
481,"艾姆利多","エムリット","Mesprit","","0.3","0.3","PSYCHIC","","DUAL_FOOTS_MONSTER","3","感情","飘浮","","",0,1,0,1,1,0,"210","261",1250000,"UNDISCOVERED","","80",80,105,105,105,105,80,"481#艾姆利多#"
482,"亚克诺姆","アグノム","Azelf","","0.3","0.3","PSYCHIC","","DUAL_FOOTS_MONSTER","3","意志","飘浮","","",0,2,0,1,0,0,"210","261",1250000,"UNDISCOVERED","","80",75,125,70,125,70,115,"482#亚克诺姆#"
483,"帝牙卢卡","ディアルガ","Dialga","帝牙卢卡","5.4","683.0","STEEL","DRAGON","QUADRUPLE_FOOTS_MONSTER","3","时间","压迫感","","心灵感应",0,0,0,3,0,0,"220","306",1250000,"UNDISCOVERED","","120",100,120,120,150,100,90,"483#帝牙卢卡#帝牙卢卡#"
483,"帝牙卢卡","ディアルガ","Dialga","起源形态","7.0","850.0","STEEL","DRAGON","QUADRUPLE_FOOTS_MONSTER","3","时间","压迫感","","心灵感应",0,0,0,3,0,0,"220","",1250000,"UNDISCOVERED","","120",100,100,120,150,120,90,"483#帝牙卢卡#起源形态#"
484,"帕路奇亚","パルキア","Palkia","帕路奇亚","4.2","336.0","WATER","DRAGON","DUAL_FOOTS_MONSTER","3","空间","压迫感","","心灵感应",0,0,0,3,0,0,"220","306",1250000,"UNDISCOVERED","","120",90,120,100,150,120,100,"484#帕路奇亚#帕路奇亚#"
484,"帕路奇亚","パルキア","Palkia","起源形态","6.3","660.0","WATER","DRAGON","DUAL_FOOTS_MONSTER","3","空间","压迫感","","心灵感应",0,0,0,3,0,0,"220","",1250000,"UNDISCOVERED","","120",90,100,100,150,120,120,"484#帕路奇亚#起源形态#"
485,"席多蓝恩","ヒードラン","Heatran","","1.7","430.0","FIRE","STEEL","QUADRUPLE_FOOTS_MONSTER","3","火山口","引火","","火焰之躯",0,0,0,3,0,0,"215","270",1250000,"UNDISCOVERED","","10",91,90,106,130,106,77,"485#席多蓝恩#"
486,"雷吉奇卡斯","レジギガス","Regigigas","","3.7","420.0","NORMAL","","HUMAN","3","巨大","慢启动","","",0,3,0,0,0,0,"220","302",1250000,"UNDISCOVERED","","120",110,160,110,80,110,100,"486#雷吉奇卡斯#"
487,"骑拉帝纳","ギラティナ","Giratina","别种形态","4.5","750.0","GHOST","DRAGON","TENTACLE","3","反抗","压迫感","","心灵感应",3,0,0,0,0,0,"220","306",1250000,"UNDISCOVERED","","120",150,100,120,100,120,90,"487#骑拉帝纳#别种形态#"
487,"骑拉帝纳","ギラティナ","Giratina","起源形态","6.9","650.0","GHOST","DRAGON","SNAKE","3","反抗","飘浮","","",3,0,0,0,0,0,"220","",1250000,"UNDISCOVERED","","120",150,120,100,120,100,90,"487#骑拉帝纳#起源形态#"
488,"克雷色利亚","クレセリア","Cresselia","","1.5","85.6","PSYCHIC","","SNAKE","3","新月","飘浮","","",0,0,0,0,3,0,"210","270",1250000,"UNDISCOVERED","","120",120,70,120,75,130,85,"488#克雷色利亚#"
489,"霏欧纳","フィオネ","Phione","","0.4","3.1","WATER","","DUAL_HANDS","30","海洋","湿润之躯","","",1,0,0,0,0,0,"165","216",1250000,"WATER_1","FAIRY","40",80,80,80,80,80,80,"489#霏欧纳#"
490,"玛纳霏","マナフィ","Manaphy","","0.3","1.4","WATER","","HUMAN","3","回游","湿润之躯","","",3,0,0,0,0,0,"215","270",1250000,"WATER_1","FAIRY","10",100,100,100,100,100,100,"490#玛纳霏#"
491,"达克莱伊","ダークライ","Darkrai","","1.5","50.5","DARK","","HUMAN","3","暗黑","梦魇","","",0,0,0,2,0,1,"210","270",1250000,"UNDISCOVERED","","120",70,90,90,135,90,125,"491#达克莱伊#"
492,"谢米","シェイミ","Shaymin","陆上形态","0.2","2.1","GRASS","","QUADRUPLE_FOOTS_MONSTER","45","感谢","自然回复","","",3,0,0,0,0,0,"64","270",1059860,"UNDISCOVERED","","120",100,100,100,100,100,100,"492#谢米#陆上形态#"
492,"谢米","シェイミ","Shaymin","天空形态","0.4","5.2","GRASS","FLYING","QUADRUPLE_FOOTS_MONSTER","45","感谢","天恩","","",0,0,0,0,0,3,"64","",1059860,"UNDISCOVERED","","120",100,103,75,120,75,127,"492#谢米#天空形态#"
493,"阿尔宙斯","アルセウス","Arceus","","3.2","320.0","NORMAL","","QUADRUPLE_FOOTS_MONSTER","3","创造","多属性","","",3,0,0,0,0,0,"255","324",1250000,"UNDISCOVERED","","120",120,120,120,120,120,120,"493#阿尔宙斯#"
494,"比克提尼","ビクティニ","Victini","","0.4","4.0","PSYCHIC","FIRE","HUMAN","3","胜利","胜利之星","","",3,0,0,0,0,0,"270","",1250000,"UNDISCOVERED","","120",100,100,100,100,100,100,"494#比克提尼#"
495,"藤藤蛇","ツタージャ","Snivy","","0.6","8.1","GRASS","","DUAL_FOOTS_MONSTER","45","草蛇","茂盛","","唱反调",0,0,0,0,0,1,"28","",1059860,"FIELD","GRASS","20",45,45,55,45,55,63,"495#藤藤蛇#"
496,"青藤蛇","ジャノビー","Servine","","0.8","16.0","GRASS","","DUAL_FOOTS_MONSTER","45","草蛇","茂盛","","唱反调",0,0,0,0,0,2,"145","",1059860,"FIELD","GRASS","20",60,60,75,60,75,83,"496#青藤蛇#"
497,"君主蛇","ジャローダ","Serperior","","3.3","63.0","GRASS","","SNAKE","45","皇家","茂盛","","唱反调",0,0,0,0,0,3,"238","",1059860,"FIELD","GRASS","20",75,75,95,75,95,113,"497#君主蛇#"
498,"暖暖猪","ポカブ","Tepig","","0.5","9.9","FIRE","","QUADRUPLE_FOOTS_MONSTER","45","火猪","猛火","","厚脂肪",1,0,0,0,0,0,"28","",1059860,"FIELD","","20",65,63,45,45,45,45,"498#暖暖猪#"
499,"炒炒猪","チャオブー","Pignite","","1.0","55.0","FIRE","FIGHT","DUAL_FOOTS_MONSTER","45","火猪","猛火","","厚脂肪",0,2,0,0,0,0,"146","",1059860,"FIELD","","20",90,93,55,70,55,55,"499#炒炒猪#"
500,"炎武王","エンブオー","Emboar","","1.6","150.0","FIRE","FIGHT","DUAL_FOOTS_MONSTER","45","大火猪","猛火","","舍身",0,3,0,0,0,0,"238","",1059860,"FIELD","","20",110,123,65,100,65,65,"500#炎武王#"
501,"水水獭","ミジュマル","Oshawott","","0.5","5.9","WATER","","DUAL_FOOTS_MONSTER","45","海獭","激流","","硬壳盔甲",0,0,0,1,0,0,"28","",1059860,"FIELD","","20",55,55,45,63,45,45,"501#水水獭#"
502,"双刃丸","フタチマル","Dewott","","0.8","24.5","WATER","","DUAL_FOOTS_MONSTER","45","修行","激流","","硬壳盔甲",0,0,0,2,0,0,"145","",1059860,"FIELD","","20",75,75,60,83,60,60,"502#双刃丸#"
503,"大剑鬼","ダイケンキ","Samurott","大剑鬼","1.5","94.6","WATER","","QUADRUPLE_FOOTS_MONSTER","45","威严","激流","","硬壳盔甲",0,0,0,3,0,0,"238","",1059860,"FIELD","","20",95,100,85,108,70,70,"503#大剑鬼#大剑鬼#"
503,"大剑鬼","ダイケンキ","Samurott","洗翠大剑鬼","1.5","58.2","WATER","DARK","QUADRUPLE_FOOTS_MONSTER","45","威严","激流","","硬壳盔甲",0,0,0,3,0,0,"238","",1059860,"FIELD","","20",90,108,80,100,65,85,"503#大剑鬼#洗翠大剑鬼#"
504,"探探鼠","ミネズミ","Patrat","","0.5","11.6","NORMAL","","QUADRUPLE_FOOTS_MONSTER","255","放哨","逃跑","锐利目光","分析",0,1,0,0,0,0,"51","",1000000,"FIELD","","15",45,55,39,35,39,42,"504#探探鼠#"
505,"步哨鼠","ミルホッグ","Watchog","","1.1","27.0","NORMAL","","DUAL_FOOTS_MONSTER","255","警戒","发光","锐利目光","分析",0,2,0,0,0,0,"147","",1000000,"FIELD","","20",60,85,69,60,69,77,"505#步哨鼠#"
506,"小约克","ヨーテリー","Lillipup","","0.4","4.1","NORMAL","","QUADRUPLE_FOOTS_MONSTER","255","小狗","干劲","捡拾","逃跑",0,1,0,0,0,0,"55","",1059860,"FIELD","","15",45,60,45,25,45,55,"506#小约克#"
507,"哈约克","ハーデリア","Herdier","","0.9","14.7","NORMAL","","QUADRUPLE_FOOTS_MONSTER","120","忠犬","威吓","拨沙","胆量",0,2,0,0,0,0,"130","",1059860,"FIELD","","15",65,80,65,35,65,60,"507#哈约克#"
508,"长毛狗","ムーランド","Stoutland","","1.2","61.0","NORMAL","","QUADRUPLE_FOOTS_MONSTER","45","宽大","威吓","拨沙","胆量",0,3,0,0,0,0,"221","",1059860,"FIELD","","15",85,110,90,45,90,80,"508#长毛狗#"
509,"扒手猫","チョロネコ","Purrloin","","0.4","10.1","DARK","","QUADRUPLE_FOOTS_MONSTER","255","坏心眼","柔软","轻装","恶作剧之心",0,0,0,0,0,1,"56","",1000000,"FIELD","","20",41,50,37,50,37,66,"509#扒手猫#"
510,"酷豹","レパルダス","Liepard","","1.1","37.5","DARK","","QUADRUPLE_FOOTS_MONSTER","90","冷酷","柔软","轻装","恶作剧之心",0,0,0,0,0,2,"156","",1000000,"FIELD","","20",64,88,50,88,50,106,"510#酷豹#"
511,"花椰猴","ヤナップ","Pansage","","0.6","10.5","GRASS","","DUAL_FOOTS_MONSTER","190","草猴","贪吃鬼","","茂盛",0,0,0,0,0,1,"63","",1000000,"FIELD","","20",50,53,48,53,48,64,"511#花椰猴#"
512,"花椰猿","ヤナッキー","Simisage","","1.1","30.5","GRASS","","DUAL_FOOTS_MONSTER","75","刺猴","贪吃鬼","","茂盛",0,0,0,0,0,2,"174","",1000000,"FIELD","","20",75,98,63,98,63,101,"512#花椰猿#"
513,"爆香猴","バオップ","Pansear","","0.6","11.0","FIRE","","DUAL_FOOTS_MONSTER","190","高温","贪吃鬼","","猛火",0,0,0,0,0,1,"63","",1000000,"FIELD","","20",50,53,48,53,48,64,"513#爆香猴#"
514,"爆香猿","バオッキー","Simisear","","1.0","28.0","FIRE","","DUAL_FOOTS_MONSTER","75","火花","贪吃鬼","","猛火",0,0,0,0,0,2,"174","",1000000,"FIELD","","20",75,98,63,98,63,101,"514#爆香猿#"
515,"冷水猴","ヒヤップ","Panpour","","0.6","13.5","WATER","","DUAL_FOOTS_MONSTER","190","泼水","贪吃鬼","","激流",0,0,0,0,0,1,"63","",1000000,"FIELD","","20",50,53,48,53,48,64,"515#冷水猴#"
516,"冷水猿","ヒヤッキー","Simipour","","1.0","29.0","WATER","","DUAL_FOOTS_MONSTER","75","放水","贪吃鬼","","激流",0,0,0,0,0,2,"174","",1000000,"FIELD","","20",75,98,63,98,63,101,"516#冷水猿#"
517,"食梦梦","ムンナ","Munna","","0.6","23.3","PSYCHIC","","QUADRUPLE_FOOTS_MONSTER","190","食梦","预知梦","同步","心灵感应",1,0,0,0,0,0,"58","",800000,"FIELD","","10",76,25,45,67,55,24,"517#食梦梦#"
518,"梦梦蚀","ムシャーナ","Musharna","","1.1","60.5","PSYCHIC","","HUMAN","75","半梦半醒","预知梦","同步","心灵感应",2,0,0,0,0,0,"170","",800000,"FIELD","","10",116,55,85,107,95,29,"518#梦梦蚀#"
519,"豆豆鸽","マメパト","Pidove","","0.3","2.1","NORMAL","FLYING","DUAL_WINGS","255","小鸽","健壮胸肌","超幸运","斗争心",0,1,0,0,0,0,"53","",1059860,"FLYING","","15",50,55,50,36,30,43,"519#豆豆鸽#"
520,"咕咕鸽","ハトーボー","Tranquill","","0.6","15.0","NORMAL","FLYING","DUAL_WINGS","120","野鸽","健壮胸肌","超幸运","斗争心",0,2,0,0,0,0,"125","",1059860,"FLYING","","15",62,77,62,50,42,65,"520#咕咕鸽#"
521,"高傲雉鸡","ケンホロウ","Unfezant","","1.2","29.0","NORMAL","FLYING","DUAL_WINGS","45","自尊心","健壮胸肌","超幸运","斗争心",0,3,0,0,0,0,"215","",1059860,"FLYING","","15",80,115,80,65,55,93,"521#高傲雉鸡#"
522,"斑斑马","シママ","Blitzle|","","0.8","29.8","ELECTRIC","","QUADRUPLE_FOOTS_MONSTER","190","带电","避雷针","电气引擎","食草",0,0,0,0,0,1,"59","",1000000,"FIELD","","20",45,60,32,50,32,76,"522#斑斑马#"
523,"雷电斑马","ゼブライカ","Zebstrika","","1.6","79.5","ELECTRIC","","QUADRUPLE_FOOTS_MONSTER","75","雷电","避雷针","电气引擎","食草",0,0,0,0,0,2,"174","",1000000,"FIELD","","20",75,100,63,80,63,116,"523#雷电斑马#"
524,"石丸子","ダンゴロ","Roggenrola","","0.4","18.0","ROCK","","DUAL_LEGS","255","地幔","结实","碎裂铠甲","沙之力",0,0,1,0,0,0,"56","",1059860,"MINERAL","","15",55,75,85,25,25,15,"524#石丸子#"
525,"地幔岩","ガントル","Boldore","","0.9","102.0","ROCK","","TENTACLE","120","矿石","结实","碎裂铠甲","沙之力",0,1,1,0,0,0,"137","",1059860,"MINERAL","","15",70,105,105,50,40,20,"525#地幔岩#"
526,"庞岩怪","ギガイアス","Gigalith","","1.7","260.0","ROCK","","TENTACLE","45","高压","结实","扬沙","沙之力",0,3,0,0,0,0,"227","",1059860,"MINERAL","","15",85,135,130,60,80,25,"526#庞岩怪#"
527,"滚滚蝙蝠","コロモリ","Woobat","","0.4","2.1","PSYCHIC","FLYING","DUAL_WINGS","190","蝙蝠","纯朴","笨拙","单纯",0,0,0,0,0,1,"63","",1000000,"FIELD","FLYING","15",65,45,43,55,43,72,"527#滚滚蝙蝠#"
528,"心蝙蝠","ココロモリ","Swoobat","","0.9","10.5","PSYCHIC","FLYING","DUAL_WINGS","45","求爱","纯朴","笨拙","单纯",0,0,0,0,0,2,"149","",1000000,"FIELD","FLYING","15",67,57,55,77,55,114,"528#心蝙蝠#"
529,"螺钉地鼠","モグリュー","Drilbur","","0.3","8.5","GROUND","","DUAL_FOOTS_MONSTER","120","鼹鼠","拨沙","沙之力","破格",0,1,0,0,0,0,"66","",1000000,"FIELD","","20",60,85,40,30,45,68,"529#螺钉地鼠#"
530,"龙头地鼠","ドリュウズ","Excadrill","","0.7","40.4","GROUND","STEEL","HUMAN","60","地底","拨沙","沙之力","破格",0,2,0,0,0,0,"178","",1000000,"FIELD","","20",110,135,60,50,65,88,"530#龙头地鼠#"
531,"差不多娃娃","タブンネ","Audino","差不多娃娃","1.1","31.0","NORMAL","","DUAL_FOOTS_MONSTER","255","听力","治愈之心","再生力","笨拙",2,0,0,0,0,0,"390","",800000,"FAIRY","","20",103,60,86,60,86,50,"531#差不多娃娃#差不多娃娃#"
531,"差不多娃娃","タブンネ","Audino","超级差不多娃娃","1.5","32.0","NORMAL","FAIRY","DUAL_FOOTS_MONSTER","255","听力","治愈之心","","",2,0,0,0,0,0,"390","",800000,"FAIRY","","20",103,60,126,80,126,50,"531#差不多娃娃#超级差不多娃娃#"
532,"搬运小匠","ドッコラー","Timburr","","0.6","12.5","FIGHT","","HUMAN","180","筋骨","毅力","强行","铁拳",0,1,0,0,0,0,"61","",1059860,"HUMAN_LIKE","","20",75,80,55,25,35,35,"532#搬运小匠#"
533,"铁骨土人","ドテッコツ","Gurdurr","","1.2","40.0","FIGHT","","HUMAN","90","筋骨","毅力","强行","铁拳",0,2,0,0,0,0,"142","",1059860,"HUMAN_LIKE","","20",85,105,85,40,50,40,"533#铁骨土人#"
534,"修建老匠","ローブシン","Conkeldurr","","1.4","87.0","FIGHT","","HUMAN","45","筋骨","毅力","强行","铁拳",0,3,0,0,0,0,"227","",1059860,"HUMAN_LIKE","","20",105,140,95,55,65,45,"534#修建老匠#"
535,"圆蝌蚪","オタマロ","Tympole","","0.5","4.5","WATER","","FISH","255","蝌蚪","悠游自如","湿润之躯","储水",0,0,0,0,0,1,"59","",1059860,"WATER_1","","20",50,50,40,50,40,64,"535#圆蝌蚪#"
536,"蓝蟾蜍","ガマガル","Palpitoad","","0.8","17.0","WATER","GROUND","DUAL_FOOTS_MONSTER","120","震动","悠游自如","湿润之躯","储水",2,0,0,0,0,0,"134","",1059860,"WATER_1","","20",75,65,55,65,55,69,"536#蓝蟾蜍#"
537,"蟾蜍王","ガマゲロゲ","Seismitoad","","1.5","62.0","WATER","GROUND","HUMAN","45","震动","悠游自如","毒手","储水",3,0,0,0,0,0,"225","",1059860,"WATER_1","","20",105,95,75,85,75,74,"537#蟾蜍王#"
